T, P
1427, 0.04677
1428, 0.04677
1429, 0.04677
1430, 0.04677
1431, 0.04677
1432, 0.04677
1433, 0.04677
1434, 0.04677
1435, 0.04677
1436, 0.04677
1437, 0.04677
1438, 0.04677
1439, 0.04677
1440, 0.04677
1441, 0.04677
1442, 0.04677
1443, 0.04677
1444, 0.04677
1445, 0.04677
1446, 0.04677
1447, 0.04677
1448, 0.04677
1449, 0.04677
1450, 0.04677
1451, 0.04677
1452, 0.04677
1453, 0.04677
1454, 0.04677
1455, 0.04677
1456, 0.04677
1457, 0.04677
1458, 0.04677
1459, 0.04677
1460, 0.04677
1461, 0.04677
1462, 0.04677
1463, 0.04677
1464, 0.04677
1465, 0.04677
1466, 0.04677
1467, 0.04677
1468, 0.04677
1469, 0.04677
1470, 0.04677
1471, 0.04677
1472, 0.04677
1473, 0.04677
1474, 0.04677
1475, 0.04677
1476, 0.04677
1477, 0.04677
1478, 0.04677
1479, 0.04677
1480, 0.04677
1481, 0.04677
1482, 0.04677
1483, 0.04677
1484, 0.04677
1485, 0.04677
1486, 0.04677
1487, 0.04677
1488, 0.04677
1489, 0.04677
1490, 0.04677
1491, 0.04677
1492, 0.04677
1493, 0.04677
1494, 0.04677
1495, 0.04677
1496, 0.04677
1497, 0.04677
1498, 0.04677
1499, 0.04677
1500, 0.04677
1501, 0.04677
1502, 0.04677
1503, 0.04677
1504, 0.04677
1505, 0.04677
1506, 0.04677
1507, 0.04677
1508, 0.04677
1509, 0.04677
1510, 0.04677
1511, 0.04677
1512, 0.04677
1513, 0.04677
1514, 0.04677
1515, 0.04677
1516, 0.04677
1517, 0.04677
1518, 0.04677
1519, 0.04677
1520, 0.04677
1521, 0.04677
1522, 0.04677
1523, 0.04677
1524, 0.04677
1525, 0.04677
1526, 0.04677
1527, 0.04677
1528, 0.04677
1529, 0.04677
1530, 0.04677
1531, 0.04677
1532, 0.04677
1533, 0.04677
1534, 0.04677
1535, 0.04677
1536, 0.04677
1537, 0.04677
1538, 0.04677
1539, 0.04677
1540, 0.04677
1541, 0.04677
1542, 0.04677
1543, 0.04677
1544, 0.04677
1545, 0.04677
1546, 0.04677
1547, 0.04677
1548, 0.04677
1549, 0.04677
1550, 0.04677
1551, 0.04677
1552, 0.04677
1553, 0.04677
1554, 0.04677
1555, 0.04677
1556, 0.04677
1557, 0.04677
1558, 0.04677
1559, 0.04677
1560, 0.04677
1561, 0.04677
1562, 0.04677
1563, 0.04677
1564, 0.04677
1565, 0.04677
1566, 0.04677
1567, 0.04677
1568, 0.04677
1569, 0.04677
1570, 0.04677
1571, 0.04677
1572, 0.04677
1573, 0.04677
1574, 0.04677
1575, 0.04677
1576, 0.04677
1577, 0.04677
1578, 0.04677
1579, 0.04677
1580, 0.04677
1581, 0.04677
1582, 0.04677
1583, 0.04677
1584, 0.04677
1585, 0.04677
1586, 0.04677
1587, 0.04677
1588, 0.04677
1589, 0.04677
1590, 0.04677
1591, 0.04677
1592, 0.04677
1593, 0.04677
1594, 0.04677
1595, 0.04677
1596, 0.04677
1597, 0.04677
1598, 0.04677
1599, 0.04677
1600, 0.04677
1601, 0.04677
1602, 0.04677
1603, 0.04677
1604, 0.04677
1605, 0.04677
1606, 0.04677
1607, 0.04677
1608, 0.04677
1609, 0.04677
1610, 0.04677
1611, 0.04677
1612, 0.04677
1613, 0.04677
1614, 0.04677
1615, 0.04677
1616, 0.04677
1617, 0.04677
1618, 0.04677
1619, 0.04677
1620, 0.04677
1621, 0.04677
1622, 0.04677
1623, 0.04677
1624, 0.04677
1625, 0.04677
1626, 0.04677
1627, 0.04677
1628, 0.04677
1629, 0.04677
1630, 0.04677
1631, 0.04677
1632, 0.04677
1633, 0.04677
1634, 0.04677
1635, 0.04677
1636, 0.04677
1637, 0.04677
1638, 0.04677
1639, 0.04677
1640, 0.04677
1641, 0.04677
1642, 0.04677
1643, 0.04677
1644, 0.04677
1645, 0.04677
1646, 0.04677
1647, 0.04677
1648, 0.04677
1649, 0.04677
1650, 0.04677
1651, 0.04677
1652, 0.04677
1653, 0.04677
1654, 0.04677
1655, 0.04677
1656, 0.04677
1657, 0.04677
1658, 0.04677
1659, 0.04677
1660, 0.04677
1661, 0.04677
1662, 0.04677
1663, 0.04677
1664, 0.04677
1665, 0.04677
