T, DemandHome
696, 0.427392
697, 0.325395
698, 0.27622
699, 0.2459695
700, 0.2293375
701, 0.2390605
702, 0.2778545
703, 0.3607695
704, 0.4292295
705, 0.4326595
706, 0.418201
707, 0.404768
708, 0.4171125
709, 0.428106
710, 0.4278715
711, 0.4417875
712, 0.4682195
713, 0.5335365
714, 0.6404055
715, 0.719971
716, 0.7396445
717, 0.692111
718, 0.627417
719, 0.545426
720, 0.4267585
721, 0.3297805
722, 0.2777425
723, 0.245756
724, 0.2293025
725, 0.2391445
726, 0.2774695
727, 0.3593555
728, 0.4305315
729, 0.436863
730, 0.425593
731, 0.4105675
732, 0.420336
733, 0.431753
734, 0.430017
735, 0.442932
736, 0.4674425
737, 0.5291405
738, 0.635782
739, 0.7169715
740, 0.7355285
741, 0.6917925
742, 0.624092
743, 0.542927
744, 0.4285785
745, 0.3317125
746, 0.281855
747, 0.2486365
748, 0.230139
749, 0.2387
750, 0.2770985
751, 0.3572205
752, 0.4305595
753, 0.439775
754, 0.432712
755, 0.4256735
756, 0.4400095
757, 0.4506495
758, 0.4562915
759, 0.4745685
760, 0.500248
761, 0.5565875
762, 0.647682
763, 0.712075
764, 0.7157745
765, 0.6645555
766, 0.5898165
767, 0.5198515
768, 0.4314625
769, 0.3353035
770, 0.2866115
771, 0.2597245
772, 0.25109
773, 0.252791
774, 0.260918
775, 0.2688945
776, 0.3399655
777, 0.4629205
778, 0.5512255
779, 0.595903
780, 0.6261325
781, 0.6240185
782, 0.5885495
783, 0.5660935
784, 0.563318
785, 0.592704
786, 0.687197
787, 0.738689
788, 0.7182455
789, 0.656943
790, 0.570773
791, 0.49014
792, 0.406609
793, 0.322546
794, 0.278054
795, 0.2605575
796, 0.2638685
797, 0.2747535
798, 0.282072
799, 0.282401
800, 0.33964
801, 0.453936
802, 0.5515405
803, 0.621593
804, 0.6818105
805, 0.692937
806, 0.6457115
807, 0.603925
808, 0.5905515
809, 0.6205955
810, 0.7259875
811, 0.791035
812, 0.781011
813, 0.7015225
814, 0.6186635
815, 0.538678
816, 0.422856
817, 0.3188675
818, 0.2649535
819, 0.2340625
820, 0.2180255
821, 0.226541
822, 0.2667385
823, 0.335342
824, 0.402717
825, 0.424515
826, 0.4230065
827, 0.4168115
828, 0.426846
829, 0.435232
830, 0.4267165
831, 0.4313855
832, 0.4474785
833, 0.505106
834, 0.621033
835, 0.694512
836, 0.713573
837, 0.6748105
838, 0.6118175
839, 0.5317515
840, 0.4177565
841, 0.3208905
842, 0.2674805
843, 0.2395505
844, 0.2261
845, 0.233667
846, 0.268499
847, 0.329364
848, 0.3961545
849, 0.420595
850, 0.4207455
851, 0.4105465
852, 0.420434
853, 0.4302305
854, 0.42203
855, 0.4245535
856, 0.440706
857, 0.5012175
858, 0.614614
859, 0.6856535
860, 0.701617
861, 0.666204
862, 0.6062175
863, 0.52983
864, 0.4210185
865, 0.3196025
866, 0.2688525
867, 0.239806
868, 0.2262155
869, 0.234668
870, 0.269304
871, 0.3319855
872, 0.3972255
873, 0.4206125
874, 0.418845
875, 0.4111555
876, 0.4222155
877, 0.430997
878, 0.422968
879, 0.4262965
880, 0.4431525
881, 0.4970875
882, 0.6120695
883, 0.684789
884, 0.7013055
885, 0.6618255
886, 0.6022625
887, 0.5280835
888, 0.418936
889, 0.32326
890, 0.270319
891, 0.239841
892, 0.226513
893, 0.2346715
894, 0.2686425
895, 0.3304175
896, 0.397775
897, 0.4243225
898, 0.425376
899, 0.4155235
900, 0.424109
901, 0.4339755
902, 0.4243155
903, 0.42651
904, 0.4412975
905, 0.491743
906, 0.606172
907, 0.6801095
908, 0.6957475
909, 0.660471
910, 0.5989235
911, 0.5257175
912, 0.4216765
913, 0.325185
914, 0.273861
915, 0.2417135
916, 0.2267055
917, 0.2339085
918, 0.2676905
919, 0.327684
920, 0.397509
921, 0.4271925
922, 0.432404
923, 0.430115
924, 0.443135
925, 0.452494
926, 0.451241
927, 0.459333
928, 0.475349
929, 0.5196345
930, 0.6187895
931, 0.6761755
932, 0.6761895
933, 0.6340565
934, 0.566713
935, 0.5048785
936, 0.426328
937, 0.3314815
938, 0.282247
939, 0.2550625
940, 0.2478245
941, 0.2510445
942, 0.2592135
943, 0.266826
944, 0.3388665
945, 0.4610795
946, 0.54691
947, 0.58933
948, 0.617463
949, 0.614348
950, 0.578186
951, 0.5544105
952, 0.548128
953, 0.570024
954, 0.6651155
955, 0.72975
956, 0.713468
957, 0.6501775
958, 0.5638535
959, 0.484995
960, 0.405328
961, 0.324205
962, 0.277928
963, 0.258286
964, 0.261947
965, 0.2764335
966, 0.2882425
967, 0.3075555
968, 0.3668805
969, 0.4606315
970, 0.5442955
971, 0.6058045
972, 0.6635265
973, 0.6735715
974, 0.631673
975, 0.59759
976, 0.5874855
977, 0.614866
978, 0.7117635
979, 0.8086855
980, 0.8099
981, 0.7186235
982, 0.6264685
983, 0.540953
984, 0.4200175
985, 0.3196305
986, 0.267575
987, 0.236334
988, 0.219751
989, 0.229425
990, 0.272188
991, 0.358281
992, 0.424172
993, 0.424347
994, 0.4115615
995, 0.40012
996, 0.409752
997, 0.418852
998, 0.416213
999, 0.4285295
1000, 0.4478845
1001, 0.5022395
1002, 0.6073865
1003, 0.709016
1004, 0.740369
1005, 0.6912745
1006, 0.6191115
1007, 0.5342505
1008, 0.41629
1009, 0.322049
1010, 0.2699865
1011, 0.241038
1012, 0.227108
1013, 0.2361555
1014, 0.2738715
1015, 0.3527685
1016, 0.418103
1017, 0.4195135
1018, 0.407701
1019, 0.3923885
1020, 0.4025665
1021, 0.413133
1022, 0.4107565
1023, 0.4209345
1024, 0.4403665
1025, 0.4974095
1026, 0.6001065
1027, 0.699825
1028, 0.728245
1029, 0.6823005
1030, 0.6135185
1031, 0.5327385
1032, 0.42
1033, 0.3206735
1034, 0.2709945
1035, 0.24129
1036, 0.227129
1037, 0.2370935
1038, 0.274799
1039, 0.355152
1040, 0.418677
1041, 0.4193735
1042, 0.4060665
1043, 0.393484
1044, 0.4039035
1045, 0.413063
1046, 0.4105675
1047, 0.421337
1048, 0.441098
1049, 0.493087
1050, 0.5981605
1051, 0.7003885
1052, 0.729316
1053, 0.679294
1054, 0.6104
1055, 0.5306665
1056, 0.4164755
1057, 0.323393
1058, 0.272384
1059, 0.241745
1060, 0.227976
1061, 0.237132
1062, 0.2739835
1063, 0.353724
1064, 0.4188485
1065, 0.422611
1066, 0.4114635
1067, 0.396088
1068, 0.4042045
1069, 0.4149635
1070, 0.410732
1071, 0.4204235
1072, 0.4380495
1073, 0.4865875
1074, 0.5905935
1075, 0.6935775
1076, 0.7223195
1077, 0.676704
1078, 0.606851
1079, 0.5283775
1080, 0.420119
1081, 0.325591
1082, 0.27538
1083, 0.242571
1084, 0.227598
1085, 0.236229
1086, 0.2725975
1087, 0.3504795
1088, 0.4183935
1089, 0.425838
1090, 0.4189325
1091, 0.410669
1092, 0.422968
1093, 0.4335555
1094, 0.4387285
1095, 0.4548005
1096, 0.4737285
1097, 0.515459
1098, 0.6046985
1099, 0.6910995
1100, 0.703339
1101, 0.651448
1102, 0.577017
1103, 0.509922
1104, 0.4265905
1105, 0.3301165
1106, 0.281533
1107, 0.2533475
1108, 0.246092
1109, 0.2524025
1110, 0.2643935
1111, 0.290724
1112, 0.364637
1113, 0.464457
1114, 0.535108
1115, 0.5694465
1116, 0.595735
1117, 0.593082
1118, 0.5629925
1119, 0.546924
1120, 0.5435815
1121, 0.563346
1122, 0.6485115
1123, 0.743036
1124, 0.73962
1125, 0.6665155
1126, 0.5736185
1127, 0.4901155
1128, 0.407176
1129, 0.320215
1130, 0.26964
1131, 0.2485105
1132, 0.254884
1133, 0.272027
1134, 0.285166
1135, 0.30422
1136, 0.364378
1137, 0.4588605
1138, 0.54047
1139, 0.598038
1140, 0.652582
1141, 0.66024
1142, 0.6168505
1143, 0.5817245
1144, 0.569555
1145, 0.591381
1146, 0.6860315
1147, 0.7933765
1148, 0.798707
1149, 0.7098
1150, 0.6170745
1151, 0.531503
1152, 0.4121915
1153, 0.314167
1154, 0.262283
1155, 0.2318505
1156, 0.217091
1157, 0.2269715
1158, 0.269136
1159, 0.3532515
1160, 0.416234
1161, 0.4162935
1162, 0.404033
1163, 0.39228
1164, 0.400988
1165, 0.4095105
1166, 0.4061645
1167, 0.4174695
1168, 0.4351445
1169, 0.4833185
1170, 0.584108
1171, 0.692286
1172, 0.7285355
1173, 0.682339
1174, 0.609147
1175, 0.5250665
1176, 0.4100355
1177, 0.317198
1178, 0.264691
1179, 0.235851
1180, 0.223636
1181, 0.233156
1182, 0.270809
1183, 0.348418
1184, 0.4110085
1185, 0.410886
1186, 0.398874
1187, 0.383362
1188, 0.393358
1189, 0.403445
1190, 0.4002425
1191, 0.409339
1192, 0.4270385
1193, 0.4772775
1194, 0.575603
1195, 0.6828955
1196, 0.7168175
1197, 0.6734595
1198, 0.6042225
1199, 0.524146
1200, 0.413812
1201, 0.315476
1202, 0.265153
1203, 0.2360155
1204, 0.2232895
1205, 0.233765
1206, 0.271691
1207, 0.350588
1208, 0.4112885
1209, 0.4109945
1210, 0.3981705
1211, 0.385595
1212, 0.394905
1213, 0.40327
1214, 0.3997945
1215, 0.4093355
1216, 0.427084
1217, 0.474061
1218, 0.575379
1219, 0.685545
1220, 0.7192465
1221, 0.6720035
1222, 0.6023605
1223, 0.5221265
1224, 0.409066
1225, 0.3172505
1226, 0.266595
1227, 0.237132
1228, 0.224987
1229, 0.234094
1230, 0.2709945
1231, 0.349699
1232, 0.4115825
1233, 0.413959
1234, 0.402402
1235, 0.386484
1236, 0.393708
1237, 0.4039595
1238, 0.39865
1239, 0.407379
1240, 0.423017
1241, 0.466508
1242, 0.566097
1243, 0.676529
1244, 0.7111895
1245, 0.6682235
1246, 0.5984335
1247, 0.519883
1248, 0.4135425
1249, 0.320131
1250, 0.2692445
1251, 0.237118
1252, 0.22435
1253, 0.233408
1254, 0.269486
1255, 0.346157
1256, 0.4111555
1257, 0.4179525
1258, 0.4108125
1259, 0.4015375
1260, 0.4126185
1261, 0.423094
1262, 0.428099
1263, 0.4436215
1264, 0.4606
1265, 0.496776
1266, 0.5823615
1267, 0.675885
1268, 0.6931435
1269, 0.6443535
1270, 0.57113
1271, 0.5039265
1272, 0.421848
1273, 0.323239
1274, 0.273714
1275, 0.245861
1276, 0.24073
1277, 0.248955
1278, 0.2617825
1279, 0.2879765
1280, 0.3629255
1281, 0.4616185
1282, 0.5287555
1283, 0.559811
1284, 0.583961
1285, 0.580769
1286, 0.5502525
1287, 0.533106
1288, 0.5275445
1289, 0.5422305
1290, 0.6231505
1291, 0.72534
1292, 0.728056
1293, 0.658455
1294, 0.567644
1295, 0.4853135
1296, 0.4054365
1297, 0.316078
1298, 0.2608935
1299, 0.2380945
1300, 0.2469565
1301, 0.266693
1302, 0.281379
1303, 0.3004435
1304, 0.3616375
1305, 0.4568935
1306, 0.536431
1307, 0.5898655
1308, 0.6412805
1309, 0.6466495
1310, 0.6016885
1311, 0.5657295
1312, 0.551999
1313, 0.569618
1314, 0.6603345
1315, 0.774697
1316, 0.7843535
1317, 0.701162
