T, P
1099, 0.27425
1100, 0.26873
1101, 0.26849
1102, 0.2593
1103, 0.25529
1104, 0.24709
1105, 0.24638
1106, 0.24598
1107, 0.2454
1108, 0.24511
1109, 0.24533
1110, 0.24522
1111, 0.24593
1112, 0.24593
1113, 0.24965
1114, 0.25655
1115, 0.25529
1116, 0.25527
1117, 0.25431
1118, 0.25003
1119, 0.24781
1120, 0.24758
1121, 0.24959
1122, 0.25606
1123, 0.2673
1124, 0.26328
1125, 0.2543
1126, 0.24749
1127, 0.2477
1128, 0.24721
1129, 0.24542
1130, 0.24571
1131, 0.24523
1132, 0.2438
1133, 0.24431
1134, 0.24441
1135, 0.24481
1136, 0.24607
1137, 0.24763
1138, 0.2477
1139, 0.24767
1140, 0.24774
1141, 0.24694
1142, 0.24655
1143, 0.24531
1144, 0.24637
1145, 0.24539
1146, 0.25133
1147, 0.25966
1148, 0.2625
1149, 0.24972
1150, 0.24723
1151, 0.24842
1152, 0.24623
1153, 0.24635
1154, 0.24583
1155, 0.24521
1156, 0.24527
1157, 0.24676
1158, 0.24818
1159, 0.26693
1160, 0.29368
1161, 0.27712
1162, 0.27251
1163, 0.27131
1164, 0.2673
1165, 0.26524
1166, 0.26461
1167, 0.2625
1168, 0.26292
1169, 0.26051
1170, 0.26699
1171, 0.28545
1172, 0.28353
1173, 0.266
1174, 0.26175
1175, 0.25722
1176, 0.24528
1177, 0.24514
1178, 0.24423
1179, 0.24179
1180, 0.2418
1181, 0.24178
1182, 0.24557
1183, 0.24831
1184, 0.26552
1185, 0.26638
1186, 0.26743
1187, 0.26746
1188, 0.2663
1189, 0.26687
1190, 0.26734
1191, 0.26683
1192, 0.26459
1193, 0.26181
1194, 0.26635
1195, 0.27732
1196, 0.26743
1197, 0.26242
1198, 0.25427
1199, 0.24698
1200, 0.24494
1201, 0.24422
1202, 0.24221
1203, 0.24244
1204, 0.24261
1205, 0.24193
1206, 0.2447
1207, 0.25109
1208, 0.26673
1209, 0.26511
1210, 0.26148
1211, 0.25721
1212, 0.25734
1213, 0.25623
1214, 0.25707
1215, 0.25625
1216, 0.25713
1217, 0.25619
1218, 0.2627
1219, 0.27683
1220, 0.27725
1221, 0.26641
1222, 0.25531
1223, 0.24841
1224, 0.24546
1225, 0.24745
1226, 0.2463
1227, 0.24627
1228, 0.2462
1229, 0.24638
1230, 0.24637
1231, 0.25933
1232, 0.27201
1233, 0.27636
1234, 0.27285
1235, 0.27262
1236, 0.2705
1237, 0.26659
1238, 0.26622
1239, 0.26269
1240, 0.25926
1241, 0.25776
1242, 0.26605
1243, 0.29299
1244, 0.2785
1245, 0.26895
1246, 0.26462
1247, 0.25733
1248, 0.24838
1249, 0.24816
1250, 0.24637
1251, 0.24637
1252, 0.24633
1253, 0.24638
1254, 0.24652
1255, 0.25663
1256, 0.26872
1257, 0.26917
1258, 0.27275
1259, 0.27185
1260, 0.26659
1261, 0.26293
1262, 0.25923
1263, 0.25426
1264, 0.25221
1265, 0.25315
1266, 0.26624
1267, 0.27036
1268, 0.26622
1269, 0.25864
1270, 0.25004
1271, 0.24896
1272, 0.24642
1273, 0.24859
1274, 0.24717
1275, 0.24552
1276, 0.24341
1277, 0.24246
1278, 0.24216
1279, 0.24148
1280, 0.24471
1281, 0.24724
1282, 0.24697
1283, 0.24756
1284, 0.24725
1285, 0.24666
1286, 0.24587
1287, 0.24433
1288, 0.24435
1289, 0.2444
1290, 0.24964
1291, 0.25737
1292, 0.25432
1293, 0.24806
1294, 0.24772
1295, 0.24709
1296, 0.24498
1297, 0.23853
1298, 0.23712
1299, 0.2387
1300, 0.23821
1301, 0.23772
1302, 0.2354
1303, 0.23324
1304, 0.23396
1305, 0.23804
1306, 0.24438
1307, 0.2471
1308, 0.24833
1309, 0.24808
1310, 0.24589
1311, 0.24185
