T, PV
1286, 0.1
1287, 0.08
1288, 0.06
1289, 0.02
1290, 0
1291, 0
1292, 0
1293, 0
1294, 0
1295, 0
1296, 0
1297, 0
1298, 0
1299, 0
1300, 0
1301, 0
1302, 0
1303, 0
1304, 0
1305, 0.02
1306, 0.02
1307, 0.04
1308, 0.06
1309, 0.08
1310, 0.1
1311, 0.12
1312, 0.08
1313, 0.04
1314, 0
1315, 0
1316, 0
1317, 0
1318, 0
1319, 0
1320, 0
1321, 0
1322, 0
1323, 0
1324, 0
1325, 0
1326, 0
1327, 0
1328, 0
1329, 0
1330, 0.04
1331, 0.06
1332, 0.12
1333, 0.14
1334, 0.2
1335, 0.16
1336, 0.1
1337, 0.04
1338, 0
1339, 0
1340, 0
1341, 0
1342, 0
1343, 0
1344, 0
1345, 0
1346, 0
1347, 0
1348, 0
1349, 0
1350, 0
1351, 0
1352, 0
1353, 0.02
1354, 0.04
1355, 0.06
1356, 0.08
1357, 0.1
1358, 0.1
1359, 0.08
1360, 0.04
1361, 0.02
1362, 0
1363, 0
1364, 0
1365, 0
1366, 0
1367, 0
1368, 0
1369, 0
1370, 0
1371, 0
1372, 0
1373, 0
1374, 0
1375, 0
1376, 0
1377, 0.02
1378, 0.06
1379, 0.1
1380, 0.16
1381, 0.18
1382, 0.14
1383, 0.14
1384, 0.1
1385, 0.04
1386, 0
1387, 0
1388, 0
1389, 0
1390, 0
1391, 0
1392, 0
1393, 0
1394, 0
1395, 0
1396, 0
1397, 0
1398, 0
1399, 0
1400, 0.02
1401, 0.06
1402, 0.12
1403, 0.16
1404, 0.2
1405, 0.22
1406, 0.2
1407, 0.18
1408, 0.12
1409, 0.08
1410, 0
1411, 0
1412, 0
1413, 0
1414, 0
1415, 0
1416, 0
1417, 0
1418, 0
1419, 0
1420, 0
1421, 0
1422, 0
1423, 0
1424, 0
1425, 0.04
1426, 0.08
1427, 0.16
1428, 0.18
1429, 0.22
1430, 0.22
1431, 0.22
1432, 0.18
1433, 0.12
1434, 0.02
1435, 0
1436, 0
1437, 0
1438, 0
1439, 0
1440, 0
1441, 0
1442, 0
1443, 0
1444, 0
1445, 0
1446, 0
1447, 0
1448, 0.02
1449, 0.2
1450, 0.32
1451, 0.5
1452, 0.72
1453, 0.92
1454, 0.84
1455, 0.62
1456, 0.54
1457, 0.28
1458, 0.02
1459, 0
1460, 0
1461, 0
1462, 0
1463, 0
1464, 0
1465, 0
1466, 0
1467, 0
1468, 0
1469, 0
1470, 0
1471, 0
1472, 0.02
1473, 0.08
1474, 0.16
1475, 0.36
1476, 0.46
1477, 0.48
1478, 0.56
1479, 0.46
1480, 0.36
1481, 0.18
1482, 0.04
1483, 0
1484, 0
1485, 0
1486, 0
1487, 0
1488, 0
1489, 0
1490, 0
